Date,Close,High,Low,Open,Volume
12/11/2019,22.35260582,22.35260582,22.35260582,22.35260582,38289394
12/12/2019,23.36863708,24.57516975,22.86062279,24.57516975,505692621
12/15/2019,23.74963951,23.81314183,23.36863,23.55913549,98349281
12/16/2019,24.13065338,24.19415424,23.81314469,23.81314469,105973907
12/17/2019,23.97189903,24.2259054,23.81314469,24.16240308,142672245
12/18/2019,23.30513382,23.87665043,23.30513382,23.8131481,83822621
12/19/2019,22.54310799,23.33687965,22.54310799,23.30512849,108120197
12/22/2019,22.41610527,22.67011162,22.16209892,22.60661077,39709972
12/23/2019,22.60661125,22.63836095,22.38435459,22.41610575,35098090
12/24/2019,22.47960854,22.67011258,22.41610621,22.63836141,22184338
12/25/2019,22.35260582,22.47961048,22.28910496,22.47961048,13572736
12/26/2019,22.44785881,22.44785881,22.25735329,22.32085416,13863242
12/29/2019,22.47960854,22.67011258,22.41610621,22.41610621,22966690
12/30/2019,22.32085037,22.51135586,22.32085037,22.47960616,13147121
12/31/2019,22.38435745,22.38435745,22.25735426,22.32085512,16332772
1/1/2020,22.28910255,22.38435457,22.25735139,22.38435457,8517342
1/2/2020,22.32085037,22.38435269,22.25734952,22.28910068,11430744
1/5/2020,21.93984604,22.2256036,21.90809487,22.2256036,25239125
1/6/2020,21.9080925,21.93984366,21.62233497,21.9080925,23401835
1/7/2020,21.81284142,21.93984461,21.68583823,21.87634228,13923075
1/8/2020,21.71758461,21.71758461,21.59058144,21.59058144,22150479
1/9/2020,22.22559929,22.25735045,21.78108745,21.81283861,31310879
1/12/2020,22.09859085,22.32084598,21.93983656,22.22559399,24584632
1/13/2020,22.06684685,22.22560119,22.03509569,22.09859801,16978173
1/14/2020,22.1303463,22.1303463,21.8445888,22.06684398,12477898
1/15/2020,22.03509331,22.09859563,21.97159246,22.09859563,12987230
1/16/2020,21.97159576,22.03509663,21.90809344,22.03509663,11523975
1/19/2020,21.81284142,21.97159577,21.74933909,21.97159577,13254735
1/20/2020,21.97159576,21.97159576,21.71758792,21.78109025,8756076
